LOCAL,TIPO_ACID,DIA_SEM,TEMPO,REGIAO,HORA_DISCRETIZADA,ACID_GRAVE
Logradouro,QUEDA,SABADO,BOM,SUL,MANHA,SIM
Logradouro,QUEDA,QUINTA-FEIRA,BOM,NORTE,TARDE,SIM
Logradouro,ATROPELAMENTO,QUARTA-FEIRA,BOM,NORTE,MANHA,SIM
Logradouro,ATROPELAMENTO,QUARTA-FEIRA,BOM,NORTE,MANHA,SIM
Logradouro,ATROPELAMENTO,QUINTA-FEIRA,BOM,SUL,TARDE,SIM
Logradouro,ABALROAMENTO,SEGUNDA-FEIRA,BOM,NORTE,MANHA,SIM
Logradouro,ABALROAMENTO,SABADO,BOM,SUL,NOITE,SIM
Logradouro,COLISAO,QUINTA-FEIRA,BOM,LESTE,TARDE,SIM
Logradouro,ABALROAMENTO,QUINTA-FEIRA,NUBLADO,LESTE,MANHA,SIM
Logradouro,ABALROAMENTO,QUARTA-FEIRA,BOM,NORTE,TARDE,SIM
Logradouro,ATROPELAMENTO,QUARTA-FEIRA,BOM,NORTE,TARDE,SIM
Logradouro,CHOQUE,SABADO,BOM,SUL,MADRUGADA,SIM
Logradouro,ABALROAMENTO,QUINTA-FEIRA,BOM,NORTE,NOITE,SIM
Logradouro,ATROPELAMENTO,SEXTA-FEIRA,BOM,SUL,NOITE,SIM
Cruzamento,QUEDA,SEGUNDA-FEIRA,BOM,LESTE,NOITE,SIM
Logradouro,ATROPELAMENTO,SEGUNDA-FEIRA,BOM,LESTE,MADRUGADA,SIM
Logradouro,QUEDA,SEGUNDA-FEIRA,BOM,LESTE,TARDE,SIM
Logradouro,ABALROAMENTO,TERCA-FEIRA,BOM,NORTE,TARDE,SIM
Logradouro,ABALROAMENTO,SEXTA-FEIRA,BOM,LESTE,NOITE,SIM
Logradouro,ATROPELAMENTO,SEGUNDA-FEIRA,BOM,NORTE,MANHA,SIM
Logradouro,ATROPELAMENTO,QUARTA-FEIRA,BOM,NORTE,TARDE,SIM
