;LATITUDE;LONGITUDE;LOCAL;TIPO_ACID;DIA_SEM;FERIDOS;FERIDOS_GR;FATAIS;TEMPO;NOITE_DIA;KMeans
331;-30.031604;-51.219521;1;1;5;1;0;0;0;0;1
332;-30.027614;-51.219424;1;3;5;1;0;0;0;0;8
333;-30.049248;-51.21301;1;3;5;0;0;0;0;1;7
334;-30.020151;-51.211073;1;2;5;0;0;0;0;1;7
335;-30.045762;-51.205133;1;3;5;1;0;0;0;0;8
336;-30.025653;-51.203132;0;4;5;1;0;0;0;0;0
337;-30.003986;-51.19915200000001;0;1;5;0;0;0;0;0;0
338;-30.0228;-51.199109;1;1;5;0;0;0;0;0;8
339;-30.155433;-51.197444;0;3;5;0;0;0;0;0;0
340;-30.053318;-51.197138;0;1;5;1;0;0;0;0;0
341;-30.047706;-51.196777;1;3;5;0;0;0;0;0;8
342;-30.041524;-51.194812;1;3;5;0;0;0;0;0;8
343;-30.021161;-51.19363;1;3;5;0;0;0;0;0;8
344;-30.00581;-51.193262;1;1;5;0;0;0;0;0;8
345;-30.071258;-51.192942;0;1;5;0;0;0;0;1;7
346;-29999430.0;-51.191131;0;1;5;0;0;0;0;0;6
347;-30.022967;-51.183497;1;3;5;0;0;0;0;0;8
348;-30.039407;-51.176946;1;3;5;0;0;0;0;0;8
349;-30.037236;-51.176326;1;1;5;0;0;0;0;0;8
350;-30.004659000000004;-51.169836;0;1;5;0;0;0;1;1;7
351;-30.033123;-51.151198;0;1;5;0;0;0;1;1;7
352;-30.040822;-51.149501;1;0;5;4;1;0;0;0;4
353;-30.067916;-51.144271;1;1;5;0;0;0;0;0;8
354;-29978912.0;-51.114481;1;1;5;0;0;0;0;0;6
355;-30.016203000000004;-51.113561;1;1;5;1;0;0;0;1;7
356;-30.112509000000006;-51.255045;1;5;6;1;0;0;0;1;7
357;-30.03009;-51.235201;1;3;6;0;0;0;0;0;8
358;-30.027839;-51.228738;1;4;6;1;0;0;0;1;7
359;-30.041295;-51.227823;1;3;6;0;0;0;0;0;8
360;-30.02573;-51.226622;1;1;6;0;0;0;0;0;8
361;-30.051456;-51.219801;1;1;6;1;0;0;0;0;1
362;-30.019628000000004;-51.216905;1;3;6;0;0;0;0;1;7
363;-30.069292;-51.216493;1;0;6;1;1;0;0;0;4
364;-30.034771000000006;-51.211072;1;3;6;0;0;0;0;0;8
365;-30.01686;-51.208706;1;1;6;1;0;0;0;1;7
366;-30.030253;-51.207987;1;2;6;0;0;0;0;0;8
367;-30.050502;-51.206809;1;1;6;1;0;0;0;1;7
368;-30.020039;-51.204089;1;5;6;0;0;0;0;0;8
369;-30.052755;-51.202048;0;3;6;0;0;0;0;0;0
370;-30.021905;-51.201513;1;0;6;1;0;0;0;1;7
371;-30.075311;-51.200973;0;2;6;0;0;0;0;0;0
372;-30.024237;-51.200271;1;1;6;0;0;0;0;0;8
373;-30.072547;-51.199657;0;1;6;1;0;0;0;0;0
374;-30.072547;-51.199657;0;2;6;0;0;0;0;1;7
375;-30.025072;-51.199654;1;3;6;0;0;0;0;0;8
376;-30.003986;-51.19915200000001;0;1;6;4;1;0;0;1;4
377;-30.155104;-51.197968;1;1;6;1;0;0;0;1;7
